title,authers,abstract,type,date_pub,journal,date_added,figuers,full_text,citation,interest,reads,or_abt,topic_dist,main_topic,topic_dist_cx,main_topic_cx,topic_dist2,main_topic2,politics_and_economics,sexuality,covid,women,criminology,education,health_medicine,child_family,community_service,t_length_w,a_length_s,a_length_w,abstract_sent,title_sent,a_neg,a_neu,a_pos,a_compound,t_neg,t_neu,t_pos,t_compound,authers_num,date_days,reads_map,cluster
"Water, sanitation, hygiene and waste disposal practices as COVID-19 response strategy: insights from Bangladesh","['Didar Islam', 'Prantor kumar Mondal', 'Nathanael Ojong[...]', 'Mohammed A. Mamun']",covid pandemic caused global emergence absence proven vaccine medicine led implementation measure prevent control spread virus wearing protective equipment like mask glove washing hand via soap frequent antiseptic solution maintaining distance applied globally reduce transmission rate therefore study intended investigate water sanitation hygienic wash behaviour protective equipment disposal practice among bangladeshi resident amid covid pandemic based study aim collected mainly via online analysed set statistical tool including test way anova principal component pca study found almost respondent reported know covid preventive measure wash status respondent found quite good stated available potable water improved toilet facility wash hand via soap clean house toilet antiseptic solution properly moreover nearly people reported face mask hand glove respectively disposal practice protective equipment inappropriate people reported disposing mask glove tissue household waste alarming public health environmental perspective moreover wash waste disposal practice marginal people found poor satisfactory level result statistical focused wash waste disposal practice well factor influenc read,Article,1.0,156,Jan 9,1,1,9,21.0,327,"The COVID-19 pandemic has caused a global emergence, and the absence of a proven vaccine or medicine has led to the implementation of measures to prevent and control the spread of the virus. Wearing protective equipment like mask and gloves, washing hands via soap, frequent use of antiseptic solution and maintaining social distance are being applied globally to reduce the transmission rate. Therefore, this study was intended to investigate water, sanitation and hygienic (WASH) behaviour, protective equipment use and their disposal practices among Bangladeshi residents amid the COVID-19 pandemic. Based on the study aims, data were collected mainly via an online survey and analysed through a set of statistical tools including T test, one-way ANOVA and principal component analysis (PCA). This study found that almost 89.80% of the respondents reported to know about the COVID-19 and its preventive measures. WASH status of the respondents is found quite good, where 94.60% stated to have available potable water, 99% have improved toilet facilities, 95% wash their hands via soap, and 79.80% clean their house and toilets by antiseptic solutions properly. Moreover, nearly 94.50% and 54.80% people reported to use face mask and hand gloves, respectively, but the disposal practice of these protective equipment is inappropriate. More than 50% of people reported disposing of their used mask, gloves and tissue with other household wastes, which is alarming for public health and environmental perspective. Moreover, the WASH and waste disposal practices of the marginal people were found very poor and not at a satisfactory level. The results of statistical analysis focused on WASH and waste disposal practices as well as the factors which influenc
… Read more","[0.0028781, 0.00135595, 0.0992383, 0.0, 0.0, 0.00597756, 0.0308537, 0.0, 0.01518205, 0.00121498, 0.02811908, 0.0]",covid,"[1.00000000e-06 9.99999000e-01 2.12918278e-06 9.99999000e-01
 9.99999000e-01 1.00000000e-06 1.00000000e-06 1.00000000e-06
 1.10433596e-04 5.33388112e-04 9.99999000e-01 9.99999000e-01]",covid,"[0.00511977, 0.00156252, 0.10469525, 0.0, 0.0, 0.00604742, 0.03533983, 0.0, 0.03214707]",covid,0.00511977,0.00156252,0.10469525,0.0,0.0,0.00604742,0.03533983,0.0,0.03214707,17,10,154,"{'neg': 0.071, 'neu': 0.732, 'pos': 0.197, 'compound': 0.9657}","{'neg': 0.177, 'neu': 0.823, 'pos': 0.0, 'compound': -0.4215}",0.071,0.732,0.197,0.9657,0.177,0.823,0.0,-0.4215,4,138.0,1,3
From Smart Borders to Perimeter Security: The Expansion of Digital Surveillance at the Canadian Borders,"['Ozgun Topak', 'Ciara Bracken-Roche', 'Alana Saulnier', 'David Lyon']",since border security policy canada u morphed smart border present beyond border perimeter security agreement resulting expansion new technique border surveillance including pre emptive profiling traveller biometric sharing argue border agreement increasingly resulted changing experience sovereign power crossing border demonstrated discussion major border policy canada u since september developed influence u hegemony policy perpetrate generalised state exception policy affect refugee migrant citizen reading agambens insight sociological perspective argue presumption security surveillance erodes border crossers human right people disadvantaged race class background aremore affected others implementation evolving border regime emphasise contingency unintended consequence ongoing project conclusion offer brief comment consequence development canadian identity point direction future domain,Article,5.0,217,Aug 1,0,0,21,11.0,205,"Since 2001, border security policy between Canada and the US has morphed from “smart borders” to the present “beyond the border” (perimeter security) agreement resulting in the expansion of new techniques of border surveillance including pre-emptive profiling of travellers and biometric data sharing. In this paper,we argue that these border agreements have increasingly resulted in a changing experience of sovereign power for those crossing the border. This is demonstrated through a discussion of: the major border policies between Canada and the US since 11 September 2001, developed under the influence of US hegemony; how these policies perpetrate a generalised state of exception; and how these policies affect refugees,migrants, and citizens. Reading Agamben’s insights from a sociological perspective, we argue that the presumption of security-through-surveillance erodes border crossers’ human rights, and that some people – those from disadvantaged race/class backgrounds – aremore affected than others by the implementation of the evolving border regime. We also emphasise the contingencies and unintended consequences of the ongoing projects. The conclusion offers brief comments on the consequences of these developments on Canadian identity and points out the directions for future research in this domain.","[0.00970161, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0057763, 0.01372822, 0.00548447, 0.0027585, 0.31429478]",politics,"[9.99999e-01 1.00000e-06 1.00000e-06 9.99999e-01 1.00000e-06 9.99999e-01
 1.00000e-06 1.00000e-06 9.99999e-01 1.00000e-06 1.00000e-06 1.00000e-06]",politics,"[0.07120227, 0.00211272, 0.00099457, 0.01115869, 0.00087679, 0.0, 0.0, 0.00740883, 0.00126362]",politics_and_economics,0.07120227,0.00211272,0.00099457,0.01115869,0.00087679,0.0,0.0,0.00740883,0.00126362,16,6,106,"{'neg': 0.076, 'neu': 0.765, 'pos': 0.159, 'compound': 0.875}","{'neg': 0.0, 'neu': 0.718, 'pos': 0.282, 'compound': 0.6249}",0.076,0.765,0.159,0.875,0.0,0.718,0.282,0.6249,4,138.0,1,4
Gender inequality in work-family balance,['Oriel Sullivan'],gender inequality workfamily balance wide reaching ramification woman shoulder greatest burden unpaid work care decreasing opportunity employment contributing significantly gender pay gap concerted measure policy ideological level required redress problem recent statistic show gender pay gap europe usa despite half century woman moving paid employment gender inequality pay intricately linked gender inequality workfamily balance especially division paid unpaid work woman shoulder greatest burden unpaid work care decreasing opportunity employment career progression extent cross national scope inequality pressing matter international level require innovative policy approach major shift attitude amend,Article,9.0,393,Sep 30,0,1,19,14.0,679,"Gender inequalities in work–family balance have wide-reaching ramifications: women shoulder the greatest burden of unpaid work and care, both decreasing their opportunities for employment and contributing significantly to the gender pay gap. Concerted measures at both the policy and ideological level are required to redress this problem. // Recent statistics show a gender pay gap of 16% in Europe1, and 18% in the USA2, despite half a century of women moving into paid employment. Gender inequality in pay is intricately linked to gender inequality in work–family balance, especially in the division of paid and unpaid work. Women shoulder the greatest burden of unpaid work and care, decreasing their opportunities for employment and career progression. The extent and cross-national scope of this inequality is a pressing matter on an international level, and it will require both innovative policy approaches and major shifts in attitudes to amend it.","[0.00636693, 0.02132524, 0.0, 0.17030744, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04196747, 0.0]",women,"[1.00000000e-06 1.00000000e-06 1.00000000e-06 9.99999000e-01
 1.00000000e-06 1.00000000e-06 9.99999000e-01 1.00000000e-06
 1.07194111e-05 1.00000000e-06 9.99999000e-01 1.00000000e-06]",community_service,"[0.00389862, 0.02304522, 0.0, 0.18495952, 0.0, 0.00022117, 0.0, 0.0, 0.04654985]",women,0.00389862,0.02304522,0.0,0.18495952,0.0,0.00022117,0.0,0.0,0.04654985,5,6,88,"{'neg': 0.113, 'neu': 0.652, 'pos': 0.234, 'compound': 0.9382}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.113,0.652,0.234,0.9382,0.0,1.0,0.0,0.0,1,87.0,1,5
"“It’s being a part of a grand tradition, a grand counter-culture which involves communities”: A qualitative investigation of autistic community connectedness.","['Monique Botha', 'Bridget Dibb', 'David M Frost']",autistic people report greater comfort socialising easier communication despite autism stereotypically associated lack motivation autistic community described briefly well understood autistic community connectedness acc may play role promoting wellbeing autistic people qualitative study involved interviewing autistic individual n person via video based platform text based platform email investigate acc critical grounded theory tool collect analyse three element acc belongingness connectedness political connectedness belongingness referred sense similarity autistic people experienced connectedness referred specific friendship participant formed autistic people political connectedness referred connectedness political equality goal autistic community participant described benefit acc increased self esteem sense direction sense community experienced elsewhere lack connectedness involved ambivalence autism identity feeling internalised stigma experience acc may implication autistic people wellbeing well cope minority stress,Preprint,1.0,569,Apr 26,0,1,1,8.0,215,"Autistic people report greater comfort socialising and easier communication with each other. Despite autism being stereotypically associated with lack of social motivation, an autistic community has been described briefly in the literature but is not well understood. Autistic community connectedness (ACC) may play a role in promoting wellbeing for autistic people. This qualitative study involved interviewing autistic individuals (N = 20) in-person, via a video-based platform, a text-based platform, or over email to investigate ACC. Critical grounded theory tools were used to collect and analyse the data. There were three elements of ACC: belongingness, social connectedness, and political connectedness. Belongingness referred to the sense of similarity that autistic people experienced with each other. Social connectedness referred to specific friendship participants formed with other autistic people. Political connectedness referred to a connectedness to the political or social equality goals of the autistic community. Participants described the benefits of ACC as being increased self-esteem, a sense of direction, and a sense of community not experienced elsewhere. Lack of connectedness involved ambivalence with an autism identity and/or feelings of internalised stigma. Experiences of ACC may have implications for autistic people’s wellbeing, as well as how they cope with minority stress.","[0.0109229, 0.01260083, 0.0, 0.0, 0.0041056, 0.00179668, 0.00912267, 0.0, 0.00306648, 0.0, 0.07489606, 0.00716575]",community_service,"[9.99999000e-01 1.00000000e-06 1.00000000e-06 9.99999000e-01
 9.99999000e-01 1.00000000e-06 1.46616792e-06 1.00000000e-06
 1.00000000e-06 1.00000000e-06 1.00000000e-06 1.00000000e-06]",politics,"[0.0136858289, 0.0132714152, 8.42542015e-06, 0.0, 0.0, 0.00150421968, 0.0105068969, 0.0, 0.0825383191]",community_service,0.0136858289,0.0132714152,8.42542015e-06,0.0,0.0,0.00150421968,0.0105068969,0.0,0.0825383191,28,12,119,"{'neg': 0.069, 'neu': 0.726, 'pos': 0.205, 'compound': 0.9442}","{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.7184}",0.069,0.726,0.205,0.9442,0.0,0.714,0.286,0.7184,3,244.0,1,0
"Minority stress, distress, and suicide attempts in three cohorts of sexual minority adults: A U.S. probability sample","['Ilan H Meyer', 'Stephen Thomas Russell', 'Phillip L. Hammack[...]', 'Bianca D.M. Wilson']",past year marked improvement legal environment sexual minority united state minority stress theory predicts health sexual minority predicated environment environment improves exposure stress would decline health outcome would improve assessed stress identity connectedness lgbt community psychological distress suicide behavior varied across three distinct cohort sexual minority people united state using national probability sample recruited assessed three priori defined cohort sexual minority labeled pride born visibility born equality born cohort found significant impressive cohort difference coming milestone member younger cohort coming much earlier member older cohort found sign improved environment attenuated exposure minority stressor distal stressor violence discrimination proximal stressor internalized homophobia expectation rejection psychological distress suicide behavior improved indeed worse younger older cohort finding suggest change environment limited impact stress process mental health sexual minority people speak endurance cultural ideology homophobia heterosexism accompanying rejection violence toward sexual minority,Article,1.0,411,Mar 6,1,1,16,17.0,232,"During the past 50 years, there have been marked improvement in the social and legal environment of sexual minorities in the United States. Minority stress theory predicts that health of sexual minorities is predicated on the social environment. As the social environment improves, exposure to stress would decline and health outcomes would improve. We assessed how stress, identity, connectedness with the LGBT community, and psychological distress and suicide behavior varied across three distinct cohorts of sexual minority people in the United States. Using a national probability sample recruited in 2016 and 2017, we assessed three a priori defined cohorts of sexual minorities we labeled the pride (born 1956-1963), visibility (born 1974-1981), and equality (born 1990-1997) cohorts. We found significant and impressive cohort differences in coming out milestones, with members of the younger cohort coming out much earlier than members of the two older cohorts. But we found no signs that the improved social environment attenuated their exposure to minority stressors-both distal stressors, such as violence and discrimination, and proximal stressors, such as internalized homophobia and expectations of rejection. Psychological distress and suicide behavior also were not improved, and indeed were worse for the younger than the older cohorts. These findings suggest that changes in the social environment had limited impact on stress processes and mental health for sexual minority people. They speak to the endurance of cultural ideologies such as homophobia and heterosexism and accompanying rejection of and violence toward sexual minorities.","[0.0, 0.24009911, 0.05692505, 0.0, 0.0, 0.0, 0.00512958, 0.00348586, 0.0, 0.0, 0.00330645, 0.0]",sexuality,"[9.99999e-01 1.00000e-06 1.00000e-06 9.99999e-01 9.99999e-01 9.99999e-01
 1.00000e-06 9.99999e-01 1.00000e-06 9.99999e-01 1.00000e-06 9.99999e-01]",politics,"[0.0, 0.25270804, 0.05879767, 0.0, 0.0, 0.0, 0.00559215, 0.00137618, 0.00304013]",sexuality,0.0,0.25270804,0.05879767,0.0,0.0,0.0,0.00559215,0.00137618,0.00304013,20,10,138,"{'neg': 0.285, 'neu': 0.564, 'pos': 0.151, 'compound': -0.9819}","{'neg': 0.451, 'neu': 0.549, 'pos': 0.0, 'compound': -0.8934}",0.285,0.564,0.151,-0.9819,0.451,0.549,0.0,-0.8934,4,138.0,1,1
"Stigmatization of ‘gay‐sounding’ voices: The role of heterosexual, lesbian, and gay individuals’ essentialist beliefs","['Fabio Fasoli', 'Peter Hegarty', 'David M Frost']",voicebased sexual orientation judgement prompt groupbased discrimination however relationship stigmatization essentialist belief vocal cue researched study examined heterosexual gay men lesbian woman essentialist belief voice cue uncover essentialist belief role perpetration experience stigma study n heterosexual participant believed voice better cue men woman participant belief discreteness immutability controllability gaysounding voice correlated higher avoidant discrimination towards gaysounding men study n endorsement essentialist belief voice cue associated selfperceptions sounding gay amongst gay men lesbian sexual minority participant especially gay men believed sounded gay reported anticipation rejection engaged vigilance response essentialist belief vocal cue relevant explaining perpetration stigma heterosexual experience stigma lesbian gay men,Article,1.0,70,Jan 23,1,1,2,8.0,260,"Voice‐based sexual orientation (SO) judgements can prompt group‐based discrimination. However, the relationships between stigmatization and essentialist beliefs about vocal cues to SO have not been researched. Two studies examined heterosexuals’ and gay men’s and lesbian women’s essentialist beliefs about voice as a cue of SO to uncover essentialist beliefs’ role in the perpetration and experience of stigma. In Study 1 (N = 363), heterosexual participants believed voice was a better cue to SO for men than for women, and participants’ belief in the discreteness, immutability, and controllability of ‘gay‐sounding’ voices was correlated with higher avoidant discrimination towards gay‐sounding men. In Study 2 (N = 147), endorsement of essentialist beliefs about voice as a SO cue was associated with self‐perceptions of sounding gay amongst gay men and lesbians. Sexual minority participants, especially gay men, who believed that they sounded gay reported more anticipation of rejection and engaged in vigilance in response. Essentialist beliefs about vocal cues to SO are relevant to explaining both the perpetration of stigma by heterosexuals and the experience of stigma for lesbians and gay men.","[0.0, 0.11095059, 0.0, 0.0687367, 0.0, 0.0, 0.00902908, 0.0, 0.00144556, 0.0, 0.0, 0.0]",sexuality,"[1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06
 1.00000e-06 9.99999e-01 1.00000e-06 1.00000e-06 9.99999e-01 1.00000e-06]",sexuality,"[0.0, 0.1167596, 0.0, 0.07317848, 0.0, 0.0, 0.01093061, 0.0, 0.0]",sexuality,0.0,0.1167596,0.0,0.07317848,0.0,0.0,0.01093061,0.0,0.0,20,7,101,"{'neg': 0.033, 'neu': 0.88, 'pos': 0.087, 'compound': 0.5859}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.033,0.88,0.087,0.5859,0.0,1.0,0.0,0.0,3,337.0,1,1
"Representations of Conflict: Images of War, Resistance, and Identity in Palestinian Art",['Luisa Gandolfo'],since palestine israel conflict provided source inspiration writer photographer within outside region year war worn inexorably change wrought event region rendered palestinian artist focus palestinian art scene onward tracing evolution palestinian art symbol war resistance national identity work artist sliman mansour naji al ali ass representation female form significance identity artistic work time conflict,Article,0.0,447,Apr 1,0,1,5,3.0,301,"Since 1948 the Palestine-Israel conflict has provided a source of inspiration for writers and photographers both within and outside the region. As the years of war have worn inexorably on, the changes wrought by events in the region have been rendered by Palestinian artists. This article focuses on the Palestinian art scene from 1948 onward, tracing the evolution of Palestinian art and symbols of war, resistance, and national identity in the works of artists such as Sliman Mansour and Naji Al-Ali. The article also assesses the representation of the female form and the significance of identity in artistic works during times of conflict.","[0.05014453, 0.01028706, 0.0, 0.00225061, 0.0, 0.00080365, 0.00064824, 0.0, 0.0, 0.0, 0.0, 0.00104489]",politics,"[2.38620269e-06 1.00000000e-06 3.52297040e-06 1.00000000e-06
 1.00000000e-06 1.00000000e-06 1.00000000e-06 9.99999000e-01
 1.00000000e-06 1.20869491e-05 1.00000000e-06 1.00000000e-06]",sexuality,"[0.04957072, 0.01202885, 0.0, 0.00315346, 0.0, 0.00370303, 0.00087248, 0.0, 0.00053197]",politics_and_economics,0.04957072,0.01202885,0.0,0.00315346,0.0,0.00370303,0.00087248,0.0,0.00053197,15,4,54,"{'neg': 0.26, 'neu': 0.661, 'pos': 0.079, 'compound': -0.9118}","{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.7351}",0.26,0.661,0.079,-0.9118,0.383,0.617,0.0,-0.7351,1,138.0,1,4
Investigating public space exploration interest and support in the UK,"['Marta Entradas', 'Steven Miller']",despite recent report stressing uk play full role robotic human space exploration involvement crucial engage society excitement space discovery uk government keep longstanding opposition participation human space mission space agency nasa esa ambitious long term programme science discovery mark beginning new era space exploration human sent mar era requires public support therefore consideration public opinion study show british public come outreach engagement activity consider advancement uk space activity nationally interest briton surveyed space outreach event uk royal society summer exhibition london national space centre leicester determine attitude space exploration asked mean explore space majority agreed space explored mankind machine scoring generating new scientific knowledge advance human culture important reason keeping exploring space although greater number supporter said money allocated civil space activity concern risk value investigate view attitude towards space exploration segment population may relate support space exploration,Article,1.0,569,Aug 20,0,0,0,3.0,545,"Despite recent reports stressing that the UK should play a full role in robotic and human space exploration and that such involvement is crucial to engage society in the excitement of space discovery, the UK government keeps its longstanding opposition to participation in human space missions. Space agencies such as NASA and ESA have ambitious long-term programmes of science and discovery that mark the beginning of a new era in space exploration where humans will be sent to Mars; An era that requires public support and, therefore, more consideration for public opinion. This study shows that the British public who come to outreach and engagement activities consider the advancement of UK space activities nationally to be of interest. In 2008, over 700 Britons were surveyed at two space outreach events in the UK, the Royal Society Summer Exhibition in London and the National Space Centre in Leicester, to determine their attitudes to space exploration. When asked about means to explore space, the majority agreed that space should be explored both by mankind and machines, scoring ""generating new scientific knowledge and advance human culture"" as the most important reason for keeping exploring space. Although the greater number of supporters said that more money should be allocated to civil space activities, there were some concerns about risk and value. This paper will investigate the views and attitudes towards space exploration of this segment of the population and how it may relate to support for space exploration.","[0.04667902, 0.00271405, 0.00497694, 0.0, 0.0, 0.00387636, 0.01706545, 0.00427357, 0.0, 0.0, 0.01205774, 0.03219376]",politics,"[9.99999e-01 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 9.99999e-01
 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06]",politics,"[0.05552333, 0.00449432, 0.0038877, 0.00059775, 0.0, 0.005993, 0.01996385, 0.00026516, 0.01117662]",politics_and_economics,0.05552333,0.00449432,0.0038877,0.00059775,0.0,0.005993,0.01996385,0.00026516,0.01117662,10,7,138,"{'neg': 0.013, 'neu': 0.686, 'pos': 0.301, 'compound': 0.9902}","{'neg': 0.0, 'neu': 0.479, 'pos': 0.521, 'compound': 0.765}",0.013,0.686,0.301,0.9902,0.0,0.479,0.521,0.765,2,128.0,1,4
Locating the Political in Political Ecology: An Introduction,"['Sydney Paulson', 'Lisa L. Gezon', 'Michael Watts']",recent debate within political ecology motivated serious reflection key concept method relatively new field introduction special issue briefly chart intellectual genealogy political ecology identify vital challenge faced today present new set study respond concern conceptualize power relation built asymmetrical distribution resource risk locate power interaction among process constitute people place resource politics found practice mechanism power circulated focus politics related environment understood biophysical phenomenon together human knowledge practice apply concept promote multiscale model articulate selected ecological phenomenon local process together regional global force idea advocate method practice sensitive relation difference power among within group rather dilute ecological dimension study approach aim strengthen ability account dialectical process human appropriate contest manipulate world around,Article,3.0,237,Aug 1,0,0,272,141.0,563,"Recent debates within political ecology have motivated serious reflection about key concepts and methods in this relatively new field. In the introduction to this special issue, we briefly chart the intellectual genealogy of political ecology, identify vital challenges faced today, and present a new set of studies that respond to these concerns. We conceptualize power as a social relation built on the asymmetrical distribution of resources and risks and locate power in the interactions among, and the processes that constitute, people, places, and resources. Politics, then, are found in the practices and mechanisms through which such power is circulated. The focus here is on politics related to the environment, understood as biophysical phenomena, together with human knowledge and practice. To apply these concepts, we promote multiscale research models that articulate selected ecological phenomena and local social processes, together with regional and global forces and ideas. We also advocate methods for research and practice that are sensitive to relations of difference and power among and within social groups. Rather than dilute ecological dimensions of study, this approach aims to strengthen our ability to account for the dialectical processes through which humans appropriate, contest, and manipulate the world around them.","[0.15117648, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00353778, 0.0, 0.0, 0.0, 0.0, 0.0]",politics,"[9.99999e-01 1.00000e-06 1.00000e-06 9.99999e-01 1.00000e-06 1.00000e-06
 1.00000e-06 1.00000e-06 1.00000e-06 9.99999e-01 9.99999e-01 1.00000e-06]",politics,"[0.14755816, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00768872, 0.0, 0.0]",politics_and_economics,0.14755816,0.0,0.0,0.0,0.0,0.0,0.00768872,0.0,0.0,9,8,112,"{'neg': 0.027, 'neu': 0.815, 'pos': 0.157, 'compound': 0.936}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.027,0.815,0.157,0.936,0.0,1.0,0.0,0.0,3,138.0,1,4
Synthesis and Biological Properties of Coumarin Analogue: A Brief Review,"['Diksha Chaudhary', 'Pooja Bedi', 'Soumava Santra', 'Tanay Pramanik']",prominent aromatic organic chemical compound coumarin formula c h widely known benefit drug industry colourless crystalline solid sweet scent coumarins physical identity serf various purpose synthesis medicine laser dye perfume many enormous usage becomes important synthesize compound various reaction performed order obtain coumarins explicates preparation coumarin pechmann condensation biological characteristic,Article,1.0,368,Nov 4,1,1,0,3.0,217,"One of the most prominent aromatic organic chemical compound is Coumarin having formula C9H6O2 which is widely known for its benefits in drug industry. Colourless crystalline solid having sweet scent is coumarin’s physical identity. It serves various purposes such as in synthesis of medicines, laser dyes, perfumes and many more. Having enormous usages it becomes important to synthesize such compound so various reactions were performed in order to obtain coumarins. This review explicates the preparation of coumarin by Pechmann Condensation and its biological characteristics.","[0.00478191, 0.04267446, 0.0, 0.0, 0.0, 0.00093463, 0.02778841, 0.0, 0.00741627, 0.0, 0.0, 0.0]",sexuality,"[1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 9.99999e-01
 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 9.99999e-01]",criminology,"[0.00584138, 0.04541661, 0.0, 0.0, 0.0, 0.0010262, 0.03167721, 0.0, 0.0]",sexuality,0.00584138,0.04541661,0.0,0.0,0.0,0.0010262,0.03167721,0.0,0.0,11,5,50,"{'neg': 0.0, 'neu': 0.786, 'pos': 0.214, 'compound': 0.8658}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.786,0.214,0.8658,0.0,1.0,0.0,0.0,4,138.0,1,1
Environmental Movements in Asia,['Fengshi Wu'],central inquiry relationship political liberalization rise development environmental movement selection eight case china kazakhstan indonesia japan mongolia singapore south korea vietnam guided call broad coverage asia logic comparative politics able generate level theoretical discussion addition empirically mapping environmental movement asia addition outlining main pattern environmental political dual transformation discus possible reason initial synergy political liberalization environmental movement fade away challenge environmental protection young democracy authoritarian regime,Preprint,1.0,569,Aug 1,1,1,0,3.0,468,"The central inquiry of this chapter is the relationship between political liberalization and the rise and development of environmental movement. The selection of the eight cases (China, Kazakhstan, Indonesia, Japan, Mongolia, Singapore, South Korea, and Vietnam) is guided by both the call for broad coverage of Asia and the logic of comparative politics so that this research will be able to generate a level of theoretical discussion, in addition to empirically mapping out environmental movements in Asia. In addition to outlining the main patterns of the environmental-political dual transformation, this research also discusses possible reasons for the initial synergy between political liberalization and environmental movement to fade away and the challenges of environmental protection for both young democracies and authoritarian regimes.","[0.08410039, 0.0, 0.0, 0.0, 0.00168957, 0.0, 0.0, 0.00025557, 0.0, 0.0, 0.0, 0.0]",politics,"[9.99999000e-01 1.00000000e-06 1.00000000e-06 1.00000000e-06
 1.00000000e-06 1.00000000e-06 1.00000000e-06 1.00000000e-06
 1.00000000e-06 7.88244886e-05 1.00000000e-06 1.00000000e-06]",politics,"[0.08758003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",politics_and_economics,0.08758003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,66,"{'neg': 0.0, 'neu': 0.98, 'pos': 0.02, 'compound': 0.0772}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.98,0.02,0.0772,0.0,1.0,0.0,0.0,1,138.0,1,4
"""I need you all to understand how pervasive this issue is"": User efforts to regulate child sexual offending on social media","['Michael Salter', 'Elly Hanson']",examines phenomenon internet user attempting report prevent online child sexual exploitation cse child sexual abuse material csam absence adequate intervention internet service provider medium platform government discus history online cse focusing regulatory stance time online risk child cast natural inevitable hegemony cyber libertarian ideology illustrate success ideology well profound contradiction ethical failure presenting key example internet user taken decisive action prevent online cse promote removal csam rejecting simplistic characterization vigilante justice argue instead fact often young internet user forced act online cse csam put lie libertarian claim internet regulation impossible unworkable unwanted recent shift towards progressive ethos online harm minimization promising however ethos risk offering new legitimizing ideology online business model continue put child risk abuse exploitation conclusion suggest way forward toward internet built interest child rather profit,Chapter,1.0,569,Aug 1,0,1,1,6.0,745,"This chapter examines the phenomenon of internet users attempting to report and prevent online child sexual exploitation (CSE) and child sexual abuse material (CSAM) in the absence of adequate intervention by internet service providers, social media platforms, and government. The chapter discusses the history of online CSE, focusing on regulatory stances over time in which online risks to children have been cast as natural and inevitable by the hegemony of a “cyber-libertarian” ideology. We illustrate the success of this ideology, as well as its profound contradictions and ethical failures, by presenting key examples in which internet users have taken decisive action to prevent online CSE and promote the removal of CSAM. Rejecting simplistic characterizations of “vigilante justice,” we argue instead that the fact that often young internet users are being forced to act against online CSE and CSAM puts a lie to libertarian claims that internet regulation is impossible, unworkable, and unwanted. Recent shifts towards a more progressive ethos of online harm minimization are promising, however, this ethos risks offering a new legitimizing ideology for online business models that will continue to put children at risk of abuse and exploitation. In conclusion, we suggest ways forward toward an internet built in the interests of children, rather than profit.","[0.00431511, 0.07304869, 0.00425463, 0.0, 0.01702789, 0.0341683, 0.0, 0.1475184, 0.0, 0.01850944, 0.0, 0.00091311]",child_family,"[9.99999000e-01 1.00000000e-06 1.00000000e-06 9.99999000e-01
 1.00000000e-06 1.37240965e-06 9.99999000e-01 9.99999000e-01
 9.99999000e-01 6.29744912e-05 1.00000000e-06 1.00000000e-06]",politics,"[0.00261843, 0.07609096, 0.00434953, 0.0, 0.03322103, 0.03949908, 0.0, 0.15352742, 0.0]",child_family,0.00261843,0.07609096,0.00434953,0.0,0.03322103,0.03949908,0.0,0.15352742,0.0,24,6,128,"{'neg': 0.198, 'neu': 0.591, 'pos': 0.211, 'compound': -0.2023}","{'neg': 0.142, 'neu': 0.858, 'pos': 0.0, 'compound': -0.5106}",0.198,0.591,0.211,-0.2023,0.142,0.858,0.0,-0.5106,2,138.0,1,8
