title,authers,abstract,type,date_pub,journal,date_added,figuers,full_text,citation,interest,reads,or_abt,topic_dist,main_topic,topic_dist_cx,main_topic_cx,topic_dist2,main_topic2,politics_and_economics,sexuality,covid,women,criminology,education,health_medicine,child_family,community_service,t_length_w,a_length_s,a_length_w,abstract_sent,title_sent,a_neg,a_neu,a_pos,a_compound,t_neg,t_neu,t_pos,t_compound,authers_num,date_days
An Exploratory Survey of Mental Health Social Work in Europe,"['Kevin Stone', 'Pearse Mccusker', 'Gavin Davidson', 'Sarah Vicary']",report exploratory study comparing mental health work mhsw europe limited previous comparing approach mhsw europe aim study develop better understanding similarity difference relevant within country referred jurisdiction online distributed mainly existing european network medium seek information role nature extent context mhsw range european jurisdiction conducted covid pandemic response jurisdiction analyzed using thematic four main theme identified relating role law policy education distinctive contribution made mhsw key challenge mhsw study demonstrates mhsw although described provided different way confined range factor play important role mental health service across jurisdiction interesting difference context especially balance therapeutic legal specialist generic approach reflect world health organisation vision objective mental health lastly study illustrates need provides valuable basis comparative collaborative work define mhsw enhance contribution make,Article,1.0,262,Oct 10,0,1,0,0.0,31,"This article reports on an exploratory study comparing mental health social work (MHSW) in Europe. There has been very limited previous research comparing approaches to MHSW in Europe and so the aim of the study was to develop a better understanding of the similarities and differences between and, where relevant, within countries (referred to as jurisdictions). An online survey was distributed mainly through existing European networks and social media to seek information on the role, nature, extent and context of MHSW in a range of European jurisdictions. Conducted during the COVID-19 pandemic, there were 158 responses from 10 jurisdictions. Data were analyzed using thematic analysis. From this analysis, four main themes were identified, relating to: role; law, policy and education; the distinctive contribution made by MHSW; and the key challenges for MHSW. The study demonstrates that MHSW, although it is described and provided in different ways and is confined by a range of factors, plays an important role in mental health services across jurisdictions. There are also interesting differences between contexts, especially in the balance of therapeutic, legal and specialist/generic approaches, some of which reflect the World Health Organisation’s vision and objectives for mental health. Lastly, the study illustrates a need and provides a valuable basis for further comparative and collaborative work to define MHSW and enhance the contributions it makes.","[0.0300545796, 0.0, 0.115406157, 0.0, 2.03204552e-05, 0.014091618, 0.0, 0.0014998634, 0.0, 0.0137940832, 0.0454874668, 0.00241455205]",covid,"[1.00000000e-06 9.99999000e-01 9.99999000e-01 9.99999000e-01
 9.99999000e-01 2.66445748e-05 1.00000000e-06 1.00000000e-06
 9.99999000e-01 4.42583016e-06 1.00000000e-06 1.00000000e-06]",covid,"[0.0317866, 0.0, 0.11967162, 0.0, 0.01318711, 0.01617053, 0.0, 0.00085091, 0.04893]",covid,0.0317866,0.0,0.11967162,0.0,0.01318711,0.01617053,0.0,0.00085091,0.04893,10,9,120,"{'neg': 0.015, 'neu': 0.848, 'pos': 0.137, 'compound': 0.9196}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.015,0.848,0.137,0.9196,0.0,1.0,0.0,0.0,4,77.0
Using data-driven approaches to improve delivery of animal health care interventions for public health,"['Stella Mazeri', 'Jordana L. Burdon Bailey', 'Dagmar Mayer[...]', 'Richard J Mellanby']",rabies kill people per year annual vaccination least dog shown eliminate rabies human canine population however delivery large scale mass dog vaccination campaign remains challenge many rabies endemic country sub saharan africa vast majority dog owned mass vaccination campaign typically depended combination static point sp door door approach since sp campaign often fail achieve vaccination coverage however approach expensive labor intensive logistically challenging raising need develop approach increase attendance sps report real time driven approach improve efficiency urban dog vaccination campaign historically vaccinated dog blantyre city malawi every year period year using combined fixed sp fsp approach enhance cost effectiveness historical vaccination dataset define barrier fsp attendance guided insight redesigned vaccination campaign increasing number fsps eliminating expensive labor intensive component combined roaming sps whose location defined real time vaccination coverage approach resulted vaccination near identical number dog approach potential act template successful sustainable future urban sp dog vaccination campaign,Article,1.0,435,Oct 8,1,1,4,4.0,58,"Rabies kills ∼60,000 people per year. Annual vaccination of at least 70% of dogs has been shown to eliminate rabies in both human and canine populations. However, delivery of large-scale mass dog vaccination campaigns remains a challenge in many rabies-endemic countries. In sub-Saharan Africa, where the vast majority of dogs are owned, mass vaccination campaigns have typically depended on a combination of static point (SP) and door-to-door (D2D) approaches since SP-only campaigns often fail to achieve 70% vaccination coverage. However, D2D approaches are expensive, labor-intensive, and logistically challenging, raising the need to develop approaches that increase attendance at SPs. Here, we report a real-time, data-driven approach to improve efficiency of an urban dog vaccination campaign. Historically, we vaccinated ∼35,000 dogs in Blantyre city, Malawi, every year over a 20-d period each year using combined fixed SP (FSP) and D2D approaches. To enhance cost effectiveness, we used our historical vaccination dataset to define the barriers to FSP attendance. Guided by these insights, we redesigned our vaccination campaign by increasing the number of FSPs and eliminating the expensive and labor-intensive D2D component. Combined with roaming SPs, whose locations were defined through the real-time analysis of vaccination coverage data, this approach resulted in the vaccination of near-identical numbers of dogs in only 11 d. This approach has the potential to act as a template for successful and sustainable future urban SP-only dog vaccination campaigns.","[0.02023103, 0.0, 0.00494968, 0.0, 0.00959999, 0.0, 0.0512538, 0.0, 0.00190459, 0.0, 0.01340382, 0.0]",health_medicine,"[1.00000000e-06 1.00000000e-06 1.00000000e-06 9.99999000e-01
 1.00000000e-06 1.00000000e-06 9.99999000e-01 1.00000000e-06
 9.99999000e-01 1.83377983e-04 1.00000000e-06 9.99999000e-01]",community_service,"[0.02435451, 0.0, 0.00499647, 0.0, 0.0, 0.0, 0.0559831, 0.0, 0.01417953]",health_medicine,0.02435451,0.0,0.00499647,0.0,0.0,0.0,0.0559831,0.0,0.01417953,14,10,149,"{'neg': 0.059, 'neu': 0.838, 'pos': 0.103, 'compound': 0.5106}","{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.7269}",0.059,0.838,0.103,0.5106,0.0,0.663,0.337,0.7269,4,
Factors associated with mobile phone ownership and potential use for rabies vaccination campaigns in southern Malawi,"['Orla Marron', 'Gareth Thomas', 'Jordana L. Burdon Bailey[...]', 'Stella Mazeri']",background rabies fatal preventable viral disease cause estimated human death globally every year vast majority human rabies case attributable bite infected domestic dog consequently control rabies dog population mass vaccination campaign considered effective method eliminating disease achieving target vaccination coverage proven challenging low resource setting sub saharan africa lack public awareness rabies vaccination campaign major barrier success study surveyed community three district southern malawi ass extent socio economic factor associated mobile phone ownership explore attitude community towards short message service sm inform upcoming rabies vaccination clinic method study carried october december post vaccination assessment annual dog rabies campaign blantyre zomba chiradzulu district malawi questionnaire administered household vaccination zone survey gathered mobile phone ownership barrier mobile phone access multivariable regression model understand factor related mobile phone ownership result respondent owned mobile phone however evidence inequality access higher education level living blantyre district male positively associated mobile phone ownership principal barrier mobile phone ownership cost phone read,Article,0.0,252,,1,1,6,6.0,82,"Background: Rabies is a fatal but preventable viral disease, which causes an estimated 59 000 human deaths globally every year. The vast majority of human rabies cases are attributable to bites from infected domestic dogs and consequently control of rabies in the dog population through mass vaccination campaigns is considered the most effective method of eliminating the disease. Achieving the WHO target of 70% vaccination coverage has proven challenging in low-resource settings such as Sub Saharan Africa, and lack of public awareness about rabies vaccination campaigns is a major barrier to their success. In this study we surveyed communities in three districts in Southern Malawi to assess the extent of and socio-economic factors associated with mobile phone ownership and explore the attitudes of communities towards the use of short message service (SMS) to inform them of upcoming rabies vaccination clinics. Methods: This study was carried out between 1 October-3 December 2018 during the post-vaccination assessment of the annual dog rabies campaign in Blantyre, Zomba and Chiradzulu districts, Malawi. 1882 questionnaires were administered to households in 90 vaccination zones. The surveys gathered data on mobile phone ownership and use, and barriers to mobile phone access. A multivariable regression model was used to understand factors related to mobile phone ownership. Results: Most survey respondents owned or had use of a mobile phone, however there was evidence of an inequality of access, with higher education level, living in Blantyre district and being male positively associated with mobile phone ownership. The principal barrier to mobile phone ownership was the cost of the phone its
… Read more","[0.00483648, 0.0, 0.0, 0.0, 0.00257851, 0.00664641, 0.10748478, 0.0, 0.00135958, 0.00133403, 0.01918129, 0.0]",health_medicine,"[1.00000000e-06 1.00000000e-06 9.99999000e-01 9.99999000e-01
 1.00000000e-06 1.00000000e-06 9.99999000e-01 1.00000000e-06
 1.31759195e-05 1.00000000e-06 1.00000000e-06 9.99999000e-01]",education,"[0.00534991, 0.0, 0.0, 0.0, 0.00133116, 0.00653364, 0.11815087, 0.0, 0.02099958]",health_medicine,0.00534991,0.0,0.0,0.0,0.00133116,0.00653364,0.11815087,0.0,0.02099958,16,10,155,"{'neg': 0.13, 'neu': 0.803, 'pos': 0.067, 'compound': -0.8481}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.13,0.803,0.067,-0.8481,0.0,1.0,0.0,0.0,4,
When do social democratic parties unite over tough immigration policy?,"['Philip Rathgeb', 'Fabio Wolkenstein']",attempting reconcile diverse immigration policy demand old working class new middle class democratic party struggle take clear position immigration policy adopting restrictive policy possible way forward likely lead electorally costly intra party conflict illuminates condition democratic party unite behind restrictive immigration policy promote consistently employing similar system design present comparative case study austrian danish democrat refugee crisis argues low level territorial decentralisation enabled danish democrat promote restrictive stance immigration top austrian democrat federal party structure exacerbated internal disagreement urban rural leader finding highlight importance internal party characteristic explaining party respond strategic trade offs supplemental accessed online http doi org,Article,1.0,557,Oct 5,0,1,0,0.0,15,"Attempting to reconcile the diverse immigration policy demands of the ‘old’ working class and the ‘new’ middle class, social democratic parties struggle to take a clear position on immigration policy. Adopting more restrictive policies is a possible way forward, but this is likely to lead to electorally costly intra-party conflict. This article illuminates the conditions under which social democratic parties can unite behind more restrictive immigration policies and promote them consistently. Employing a most-similar systems design, it presents a comparative case study of the Austrian and Danish social democrats, from the 2015 ‘refugee crisis’ to 2020. The article argues that low levels of territorial decentralisation enabled the Danish social democrats to promote a restrictive stance on immigration top-down, while the Austrian social democrats’ federal party structure exacerbated internal disagreements between urban and rural leaders. These findings highlight the importance of internal party characteristics in explaining how parties respond to strategic trade-offs. Supplemental data for this article can be accessed online at: https://doi.org/10.1080/01402382.2021.1975211 .","[0.03641303, 0.0, 0.0012485, 0.07607369, 0.00715288, 0.00502176, 0.00065771, 0.00338932, 0.00735857, 0.0, 0.0, 0.0170637]",women,"[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06
 1.e-06 1.e-06]",politics,"[0.04249544, 0.0, 0.00117642, 0.08785736, 0.0, 0.00503386, 0.00148092, 0.0048799, 0.0]",women,0.04249544,0.0,0.00117642,0.08785736,0.0,0.00503386,0.00148092,0.0048799,0.0,11,7,99,"{'neg': 0.146, 'neu': 0.615, 'pos': 0.239, 'compound': 0.8979}","{'neg': 0.123, 'neu': 0.656, 'pos': 0.221, 'compound': 0.296}",0.146,0.615,0.239,0.8979,0.123,0.656,0.221,0.296,2,
"Valuing the whole community: Children, schools and language","['Bronwen Cohen', 'Wenche Rønning']",help given child exploring linguistic cultural diversity local community drawing comparative study place based learning pbl three predominantly rural area scotland norway usa examines educational cultural approach supporting indigenous minority community language offer example potential offer contributing child personal language awareness development cultural learning find language education policy fragmented failing particular take advantage newer migrant language tool developing linguistic intercultural skill,Article,1.0,89,Sep 27,0,0,0,0.0,8,"What help is given to children in exploring linguistic and cultural diversity in their local communities? Drawing on a comparative study of Place-Based Learning (PBL) in three predominantly rural areas in Scotland, Norway and the USA, the article examines educational and cultural approaches to supporting indigenous and minority community languages. It offers examples of the potential these offer in contributing to children's personal language awareness and development and cultural learning, but finds that language and education policies are fragmented and failing in particular to take advantage of newer migrant languages as a tool for developing linguistic and intercultural skills.","[0.02478773, 0.0, 0.0, 0.0, 0.01424592, 0.0473959, 0.0, 0.08367873, 0.00022627, 0.0, 0.04599779, 0.04582944]",child_family,"[9.99999e-01 1.00000e-06 9.99999e-01 9.99999e-01 1.00000e-06 1.00000e-06
 9.99999e-01 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06]",politics,"[0.03911139, 0.0, 0.0, 0.0, 0.0, 0.05154965, 0.0, 0.08845322, 0.0480613]",child_family,0.03911139,0.0,0.0,0.0,0.0,0.05154965,0.0,0.08845322,0.0480613,10,3,61,"{'neg': 0.049, 'neu': 0.839, 'pos': 0.112, 'compound': 0.5106}","{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.34}",0.049,0.839,0.112,0.5106,0.0,0.745,0.255,0.34,2,90.0
Understanding multilevel dynamics in India: constituent power and multilevel governance,"['Wilfried Swenden', 'Rekha Saxena', 'Chanchal Kumar Sharma']",introduction special issue introduces reader specificity indian federalism place various contribution within broader conceptual comparative framework argues approach understands centrestate relation india blending element constituent multilevel governance framework approach acknowledges constituent power matter alongside understanding resource strength national subnational government linked political leadership policy community network overall argue constituent informal subnational power reinforce contributed india resilience multilevel polity even condition party dominance centre,Article,1.0,516,Sep 24,1,1,0,0.0,17,"This introduction to the special issue introduces readers to the specificities of Indian federalism and places the various contributions within a broader conceptual and comparative framework. It argues for an approach that understands centre–state relations in India by ‘blending’ elements of a ‘constituent’ and multilevel governance framework. Such an approach acknowledges that constituent power matters alongside an understanding of the resource strength of national and subnational governments linked to political leadership, policy communities and networks. Overall, we argue that constituent and informal subnational power reinforce each other and have contributed to India’s resilience as a multilevel polity, even under conditions of one-party dominance at the centre.","[0.07133239, 0.0, 0.0, 0.00713553, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00578825, 0.0]",politics,"[9.99999e-01 1.00000e-06 1.00000e-06 9.99999e-01 1.00000e-06 9.99999e-01
 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06]",politics,"[0.0730799, 0.0, 0.0, 0.00720714, 0.0, 0.0, 0.0, 0.0, 0.00544105]",politics_and_economics,0.0730799,0.0,0.0,0.00720714,0.0,0.0,0.0,0.0,0.00544105,11,4,63,"{'neg': 0.069, 'neu': 0.772, 'pos': 0.159, 'compound': 0.6705}","{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.2732}",0.069,0.772,0.159,0.6705,0.0,0.811,0.189,0.2732,3,93.0
The Importance of Context and the Effect of Information and Deliberation on Opinion Change Regarding Environmental Issues in Citizens’ Juries,"['Andrew Thompson', 'Oliver Escobar', 'Jennifer J. Roberts[...]', 'Niccole M. Pamphilis']",citizen jury become popular method engaging citizen deliberation complex public policy issue climate action sustainable development empirical evidence routinely indicates juror change mind throughout process le clear occurs whether cause consistent across jury consider topic situated within different context present evidence opinion change citizen jury natural experiment contrasting three local context onshore windfarm development scotland viz existing planned absent juror individual opinion climate change wind energy windfarms measured questionnaire four time point start following information giving reflection deliberation statistical examination juror response paired sample test wilcoxon sign test generalised least square regression reveals extent substantive change associated different phase locational context three jury opinion change occurs throughout process different topic different degree information phase consistently influence juror opinion jury composition affect magnitude direction opinion change outcome contingent context finding important informing mini public designed inform environmental policy making different scale,Article,1.0,507,Sep 22,1,1,0,2.0,38,"Citizens’ juries have become a popular method for engaging citizens in deliberation about complex public policy issues, such as climate action and sustainable development. Empirical evidence routinely indicates that jurors change their minds throughout the process. What is less clear is when and why this occurs and whether the causes are consistent across juries that consider the same topic but are situated within different contexts. We present evidence of opinion change in citizens’ juries through a natural experiment, contrasting three local contexts of onshore windfarm development in Scotland; viz. existing, planned, and absent. Jurors’ individual opinions of climate change, wind energy, and windfarms were measured through questionnaires at four time points: the start, following information-giving, reflection, and deliberation. Statistical examination of jurors’ responses, through paired sample t-tests, Wilcoxon sign-tests, and Generalised Least Squares regression, reveals to what extent substantive changes were associated with different phases and locational contexts. In all three juries, opinion change occurs throughout the process, on different topics, and to different degrees. While the information phase consistently influences jurors’ opinions the most, jury composition affects the magnitude and direction of opinion change, with outcomes contingent on contexts. Our findings are important for informing how mini-publics are designed and used to inform environmental policy-making at different scales.","[0.04174154, 0.00313545, 0.00923164, 0.0, 0.06726826, 0.0, 0.0405937, 0.00391942, 0.0, 0.00592462, 0.0, 0.0]",politics,"[1.00000000e-06 9.99999000e-01 1.00000000e-06 1.00000000e-06
 1.73977172e-06 9.99999000e-01 1.00000000e-06 2.46832832e-05
 1.00000000e-06 9.99999000e-01 1.00000000e-06 1.00000000e-06]",covid,"[0.06390959, 0.00266364, 0.00792387, 0.0, 0.0132715, 0.0, 0.04236617, 0.00152198, 0.0]",politics_and_economics,0.06390959,0.00266364,0.00792387,0.0,0.0132715,0.0,0.04236617,0.00152198,0.0,21,10,140,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.9274}","{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.3612}",0.0,0.889,0.111,0.9274,0.0,0.884,0.116,0.3612,4,95.0
Mediation pathways for reduced substance use among parents in South Africa: a randomized controlled trial,"['Adeem Ahmad Massarwi', 'Lucie Cluver', 'Franziska Meinck[...]', 'Ohad Green']",background substance major public health concern worldwide alcohol drug increased recent decade many low middle income country south africa study conducted among highest rate world despite existing evidence effectiveness family based intervention reducing substance among parent caregiver low middle income country little known mechanism change contributes reduction study investigated mediator change parenting programme parenting lifelong health plh reducing substance among parent caregiver adolescent three potential mediator parental depression parenting stress family poverty method current study pragmatic cluster randomized controlled trial design total sample comprised parent caregiver adolescent sd recruited community south africa eastern cape participant completed structured confidential self report questionnaire baseline follow test month intervention structural equation modeling conducted investigate direct indirect effect result analysis indicated effect plh intervention reducing parental substance mediated indirect pathway improvement parental mental health reduction parental depression level mediation pathway plh intervention parental substance could associated parenting stress family poverty conclusion finding study suggest intervention approach targeting mental healt read,Article,1.0,52,Sep 13,1,1,0,1.0,35,"Background Substance use is a major public health concern worldwide. Alcohol and drug use have increased during recent decades in many low- and middle-income countries, with South Africa, where this study was conducted, having among the highest rates in the world. Despite existing evidence on the effectiveness of family-based interventions in reducing substance use among parents and caregivers in low- and middle-income countries, little is known about the mechanism of change that contributes to the reduction. This study investigated mediators of change in a parenting programme (Parenting for Lifelong Health [PLH]) on reducing substance use among parents and caregivers of adolescents through three potential mediators: parental depression, parenting stress and family poverty. Methods The current study used a pragmatic cluster randomized controlled trial design. The total sample comprised 552 parent and caregiver of adolescents M = 49.37(SD = 14.69) who were recruited from 40 communities in South Africa’s Eastern Cape. Participants completed a structured confidential self-report questionnaire at baseline and a follow-up test 5 to 9 months after the intervention. Structural equation modeling was conducted to investigate direct and indirect effects. Results Analyses indicated that the effect of the PLH intervention on reducing parental substance use was mediated in one indirect pathway: improvement in parental mental health (reduction in parental depression levels). No mediation pathways from the PLH intervention on parental substance use could be associated with parenting stress or family poverty. Conclusions The findings of the study suggest that intervention approaches targeting mental healt
… Read more","[0.0, 0.03118248, 0.06428921, 0.0, 0.0, 0.0, 0.06996842, 0.11788614, 0.02943896, 0.0, 0.02623253, 0.0]",child_family,"[1.0000000e-06 1.0000000e-06 1.0000000e-06 9.9999900e-01 9.9999900e-01
 1.0000000e-06 9.9999900e-01 1.0000000e-06 9.9999900e-01 1.0200162e-06
 1.0000000e-06 9.9999900e-01]",community_service,"[0.0, 0.03334216, 0.06740395, 0.0, 0.0, 0.0, 0.07694252, 0.14249409, 0.02835914]",child_family,0.0,0.03334216,0.06740395,0.0,0.0,0.0,0.07694252,0.14249409,0.02835914,16,11,156,"{'neg': 0.136, 'neu': 0.835, 'pos': 0.029, 'compound': -0.9565}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.136,0.835,0.029,-0.9565,0.0,1.0,0.0,0.0,4,104.0
Strategic ambiguity: a roundtable on cultural economy and consumer culture,"['Don Slater', 'Sean Nixon', 'Liz Mcfall']",lightly edited transcript record discussion opening roundtable cultural economy symposium city university london january slater sean nixon liz mcfall participant original workshop cultural economy reflect conceptual institutional history cultural economy intersected shared interest advertising consumer culture individual reflection followed shared discussion contribution floor transcript edited clarity,Article,1.0,300,Sep 13,0,1,1,1.0,13,"This lightly edited transcript records the discussion at the opening roundtable of the What Was Cultural Economy? symposium at City, University of London in January 2020. In it, Don Slater, Sean Nixon and Liz McFall, all participants in the original ‘Workshop on Cultural Economy' reflect on the conceptual and institutional history of ‘cultural economy’ and how it intersected with their shared interests in advertising and consumer culture. Their individual reflections are followed by a shared discussion, with contributions from the floor. The transcript has been edited for clarity.","[0.0347637079, 0.0, 0.0, 0.00238014964, 3.18517125e-05, 0.0144647761, 0.0, 0.0, 0.00845357018, 0.0, 0.00121694528, 0.0]",politics,"[1.00000e-06 1.00000e-06 9.99999e-01 1.00000e-06 1.00000e-06 1.00000e-06
 1.00000e-06 1.00000e-06 9.99999e-01 1.00000e-06 1.00000e-06 1.00000e-06]",education,"[0.03758913, 0.00063536, 0.0, 0.00142286, 0.0, 0.01718805, 0.00013985, 0.0, 0.00114489]",politics_and_economics,0.03758913,0.00063536,0.0,0.00142286,0.0,0.01718805,0.00013985,0.0,0.00114489,11,5,46,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.8957}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.762,0.238,0.8957,0.0,1.0,0.0,0.0,3,104.0
"Dilemmas of an Academic Feminist as Manager in the Neoliberal Academy: Negotiating Institutional Authority, Oppositional Knowledge and Change",['Fiona Mackay'],still rare woman achieving important leadership role manager inside university explores practical theoretical dilemma posed academic feminist enter position age rise neoliberal academy familiar dilemma feminist bureaucrat femocrats working inside political governmental judicial economic institution le explored respect academy academic feminist take middle senior management role experience simultaneously embodiment institutional authority manage regulate quantify monetise manager well source oppositional knowledge feminist extent opportunity work grain institution challenge gendered status quo within academic feminist manage inevitably co opted compromised take autoethnographic approach reflect upon author experience tempered radical third tier management executive dean head school public intensive uk university offer lesson radical potential insider strategy change,Article,0.0,431,Sep 13,0,1,3,3.0,32,"While still rare, women are achieving important leadership roles as managers inside universities. This article explores the practical and theoretical dilemmas posed for academic feminists who enter such positions in the age of the rise of the ‘neoliberal academy’. These are familiar dilemmas for feminist bureaucrats – femocrats – working inside political, governmental, judicial and economic institutions but have been less explored with respect to the academy. What can academic feminists do when they take on middle or senior management roles? How do they experience being simultaneously the embodiment of institutional authority (to manage, regulate, quantify, monetise) as managers, as well as a source of oppositional knowledge as feminists? To what extent are there opportunities to work with the grain of an institution to challenge the gendered status quo from within? Or are academic feminists who manage inevitably co-opted and compromised? The article takes an autoethnographic approach to reflect upon the author’s experience as a ‘tempered radical’ in third tier management (as an executive dean and head of school) in a public research-intensive UK university, and to offer lessons about the radical potential of insider strategies of change.","[0.04490094, 0.0, 0.0, 0.07168765, 0.00515876, 0.06255404, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",women,"[9.99999e-01 1.00000e-06 9.99999e-01 1.00000e-06 1.00000e-06 1.00000e-06
 1.00000e-06 1.00000e-06 1.00000e-06 1.00000e-06 9.99999e-01 1.00000e-06]",politics,"[0.04492001, 0.0, 0.0, 0.07782685, 0.0, 0.07005071, 0.0, 0.0, 0.0]",women,0.04492001,0.0,0.0,0.07782685,0.0,0.07005071,0.0,0.0,0.0,20,8,105,"{'neg': 0.03, 'neu': 0.86, 'pos': 0.11, 'compound': 0.7906}","{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.0772}",0.03,0.86,0.11,0.7906,0.0,0.929,0.071,0.0772,1,104.0
Voices from the Past: Economic and Political Vulnerabilities in the Making of Next Generation EU Forthcoming in Comparative European Politics (Accepted version),"['Klaus Armingeon', 'Caroline de la Porte', 'Elke Heins', 'Stefano Sacchi']",show next generation eu ngeu mainly response economic political imbalance left eurozone crisis pre emptive intervention especially targeted structurally weak economy rising euroscepticism avoid costly ex post bailouts great recession demonstrate using quantitative pre existing vulnerability rather impact pandemic drove allocation ngeu resource per caput grant largely correspond past economic vulnerability well political one country vulnerable another adjustment austerity covid economic crisis receive resource country strong anti eu sentiment entitled larger ngeu grant per caput contrast grant correlated severity health crisis show domestic relevance economic political vulnerability qualitative case study national political debate domestic position ngeu italy germany netherlands despite innovative trait ngeu politically constrained solution address mess previous decade janus solution promising fresh start haunted past,Preprint,,569,Aug 31,0,1,0,10.0,372,"In this article, we show that Next Generation EU (NGEU) is mainly a response to the economic and political imbalances left over from the Eurozone crisis. It is a pre-emptive intervention, especially targeted at structurally weak economies with rising Euroscepticism, to avoid costly ex-post bailouts as in the Great Recession. We demonstrate, using quantitative analysis, that pre-existing vulnerabilities, rather than the impact of the pandemic, drove the allocation of NGEU resources: per capita grants largely correspond to past economic vulnerabilities, as well as to political ones. Countries most vulnerable to another adjustment by austerity after the Covid-19 economic crisis receive most resources. Also, countries with strong anti-EU sentiments are entitled to larger NGEU grants per capita. In contrast, grants are not correlated with the severity of the health crisis. Then we show the domestic relevance of economic and political vulnerabilities through qualitative case studies of national political debates and domestic positions on NGEU in Italy, Germany and the Netherlands. Despite its innovative traits, NGEU is a politically constrained solution to address the mess from the previous decade, and as such, it is a Janus solution: promising a fresh start, but haunted by the past.","[0.05445248, 0.0, 0.06544958, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00547637, 0.0, 0.0, 0.01078994]",covid,"[9.99999000e-01 9.99999000e-01 1.00000000e-06 1.00000000e-06
 1.00000000e-06 2.18002885e-06 1.00000000e-06 1.00000000e-06
 9.99999000e-01 4.70814450e-06 1.00000000e-06 1.10882307e-03]",politics,"[0.06105502, 0.0, 0.06713174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",covid,0.06105502,0.0,0.06713174,0.0,0.0,0.0,0.0,0.0,0.0,25,8,117,"{'neg': 0.258, 'neu': 0.563, 'pos': 0.18, 'compound': -0.8878}","{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.1531}",0.258,0.563,0.18,-0.8878,0.071,0.929,0.0,-0.1531,4,117.0
"Agency, Activism, and Agendas",['Patricia Jeffery'],feminist activism south asia contributed raising people awareness gender injustice directly combating part politicized religion may response challenge posed feminist activism secular change wider economy chhachhi certainly politicized religion often implicated development potentially deeply inimical woman interestsand yet many woman energy successfully engaged support feminist surely derive little satisfaction instance bharatiya janata party bjp ability mobilize woman defense rāms birthplace often far greater number feminist organization managed mobilize woman protest dowry murder,Chapter,,569,Aug 25,0,1,1,1.0,83,"Feminist activism in South Asia has contributed both to raising people’s awareness of gender injustices and to directly combating them. In part, politicized religion may be a response to the challenges posed by feminist activism and by secular changes in the wider economy (Chhachhi, 1991). More certainly politicized religion has often been implicated in developments that are potentially deeply inimical to women’s interests—and yet many women’s energies have been successfully engaged in their support. Feminists can surely derive little satisfaction, for instance, from the Bharatiya Janata Party’s (BJP) ability to mobilize women in defense of Rām’s birthplace, often in far greater numbers than feminist organizations have managed to mobilize women to protest dowry murder.","[0.00786658, 0.0, 0.0, 0.21866371, 0.00561192, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00116322, 0.0]",women,"[1.00000000e-06 1.00000000e-06 1.00000000e-06 9.99999000e-01
 1.00000000e-06 1.00000000e-06 1.00000000e-06 9.99999000e-01
 9.99999000e-01 8.57895943e-06 9.99999000e-01 1.00000000e-06]",community_service,"[0.00571053, 0.00111395, 0.0, 0.23624502, 0.0, 0.0, 0.0, 0.0, 0.00373831]",women,0.00571053,0.00111395,0.0,0.23624502,0.0,0.0,0.0,0.0,0.00373831,6,4,72,"{'neg': 0.108, 'neu': 0.58, 'pos': 0.313, 'compound': 0.9301}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.108,0.58,0.313,0.9301,0.0,1.0,0.0,0.0,1,123.0
