title,authers,abstract,type,date_pub,journal,date_added,figuers,full_text,citation,interest,reads,detect,topic_dist,main_topic,social_work,politics,environment,women,education,criminology,finances,child_abuse,politics_immigration,health_and_medicine,covid,economy,abstract_sent,title_sent,a_neg,a_neu,a_pos,a_compound,t_neg,t_neu,t_pos,t_compound,t_length,a_length_w,a_length_s,authers_num,date_days
Childcare Use and Its Role in Indigenous Child Development: Evidence from the Longitudinal Study of Indigenous Children in Australia,"['Francisco Azpitarte', 'Abraham Chigavazira', 'Guyonne Kalb[...]', 'Stephen R Zubrick']",investigate pattern childcare influence cognitive development indigenous child influence childcare indigenous child cognitive outcome le well understood nonindigenous child due lack appropriate focus cohort indigenous child australia followed infancy rich information childcare cognitive outcome observed compared indigenous child never participated childcare indigenous child participated childcare performed better several early cognitive outcome using regression propensity score matching show difference driven selection childcare child advantaged family likely attend formal childcare however matching analysis result suggest relatively disadvantaged child might benefit attending childcare indicated positive estimated effect found never attended childcare,Article,2018.0,105,,0,0,2,2.0,74,en,"[0.         0.         0.02053672 0.         0.         0.
 0.         0.24994647 0.         0.         0.         0.        ]",child_abuse,0.0,0.0,0.020536715006886218,0.0,0.0,0.0,0.0,0.24994647222429375,0.0,0.0,0.0,0.0,"{'neg': 0.049, 'neu': 0.78, 'pos': 0.172, 'compound': 0.9118}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.049,0.78,0.172,0.9118,0.0,1.0,0.0,0.0,20,88,1,4,
Correlates of hair cortisol concentrations in disadvantaged young children,"['Julian Guy Simmons', 'Francisco Azpitarte', 'Fatou Diallo Roost[...]', 'Nick Haslam']",child highly disadvantaged family tend experience worse health educational job outcome le disadvantaged peer however mechanism underlying relationship remain explicated particular study investigated relationship psychosocial influence child exposed early life longerterm cortisol output study aim contribute exploring disadvantaged young child experience family adversity parenting family functioning related longterm cortisol level sample child male age year sd mother age year sd low income population took part single assessment mother completed questionnaire family environment parenting practice child behavior child provided hair sample cortisol assay anthropometric measure parsimonious multivariate regression model including potential predictor identified selection algorithm used investigate correlate hair cortisol concentration hcc child higher level exclusion male younger age associated higher hcc maternal nurturing emotion coaching associated lower hcc finding suggest chronic stress may underlie relationship adversity longterm effect hcc offer promising method examining chronic stress child evaluating intervention ameliorated,Article,2019.0,352,,0,0,12,8.0,78,en,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.41593563e-04 3.30333484e-01
 3.20871517e-04 2.24638172e-02 1.40785041e-03 0.00000000e+00]",child_abuse,0.0,0.0,0.0,0.0,0.0,0.0,0.00024159356269909233,0.33033348440728627,0.00032087151745491526,0.022463817237551788,0.0014078504112440835,0.0,"{'neg': 0.192, 'neu': 0.773, 'pos': 0.035, 'compound': -0.9697}","{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.4019}",0.192,0.773,0.035,-0.9697,0.252,0.748,0.0,-0.4019,9,139,1,4,
The Critical Political Economy of Communications in Critical Times Interview with Graham Murdock,"['Helena Martins', 'Graham Murdock']",interview graham murdock reflects recent transformation capitalism contribution political economy communication understand transform,Article,2021.0,400,Aug 30,0,1,0,2.0,45,en,"[0.         0.06378374 0.02926271 0.         0.         0.
 0.01149628 0.         0.         0.         0.         0.00832314]",politics,0.0,0.06378374110307665,0.029262714931167957,0.0,0.0,0.0,0.011496280326205664,0.0,0.0,0.0,0.0,0.00832313681403116,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.295, 'neu': 0.705, 'pos': 0.0, 'compound': -0.5574}",0.0,1.0,0.0,0.0,0.295,0.705,0.0,-0.5574,13,13,1,2,118.0
Barriers and Factors Affecting E-commerce Utilization of Thai Small and Medium-Sized Enterprises in Food and Beverage and Retail Services,"['Yot Amornkitvikai', 'Siew Yean Tham', 'Jiraporn Tangpoolcharoen']",e commerce deemed next potential source growth thailand small medium sized enterprise smes still behind utilization e commerce us decision maker technological organizational environmental dtoe framework examine key e commerce barrier determinant e commerce utilization thai smes based retail food beverage f b service establishment metropolitan bangkok study aim fill gap examining type barrier hinder e commerce utilization thai smes f b retail service well key determinant unlike e commerce adoption e commerce utilization capture full range e commerce engagement survey finding indicate organizational barrier significantly inhibit e commerce utilization estimation structural equation modelling sem show export e commerce tool government support internal external e commerce platform enhance e commerce utilization addition business business b b e commerce increase export thai smes older entrepreneur smes tend neglect e commerce evidence based policy implication suggestion also discussed study enhance e commerce utilization thai smes,Article,2021.0,150,Aug 30,0,0,0,0.0,21,en,"[0.02190492 0.00563882 0.00169111 0.00060708 0.         0.0012493
 0.00556446 0.0029692  0.00092623 0.00187937 0.0083828  0.02406374]",economy,0.021904919868557537,0.005638816619794482,0.001691107480609761,0.0006070809020237712,0.0,0.001249302467013968,0.005564458669866555,0.002969195926374732,0.0009262268661752894,0.0018793726600141536,0.00838280309400505,0.02406374285061906,"{'neg': 0.075, 'neu': 0.814, 'pos': 0.112, 'compound': 0.6124}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.075,0.814,0.112,0.6124,0.0,1.0,0.0,0.0,19,143,1,3,118.0
Public libraries as reserves of cultural and digital capital: Addressing inequality through digitalization,"['Adrián Leguina', 'Sabina In Mihelj', 'John Downey']",public library among key site acquisition cultural capital possibly one potent mean state address inequality digitalization public library already attracted significant scholarly attention evidence contribution acquisition cultural skill knowledge mobility remains limited conceptual understanding link digitalization cultural capital stratification draw two disconnected body sociological analysis cultural capital stratification digital divide bridge two body interplay cultural digital capital public library investigated extensive dataset uk taking part analyzed using two step cluster analysis multinomial regression model explore contrasting profile contemporary library user result identify four distinct user group traditional active family tech access posse different degree cultural digital capital different demographic profile benefit digitalized library different way library fulfil role reducing inequality important tailor digital service specific characteristic user group approach also provides useful template exploring interplay digitalization equality cultural institution,Article,2021.0,261,Aug 5,1,1,1,1.0,77,en,"[0.02100486 0.06924116 0.00959904 0.01010221 0.02849562 0.00056369
 0.         0.00353073 0.01808657 0.02051386 0.01614038 0.        ]",politics,0.021004858085149094,0.069241163293302,0.009599042696568099,0.010102214820062247,0.02849562007477336,0.0005636935853678939,0.0,0.00353073225938254,0.01808656667545258,0.02051385655741237,0.016140380156254422,0.0,"{'neg': 0.014, 'neu': 0.878, 'pos': 0.108, 'compound': 0.9022}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.014,0.878,0.108,0.9022,0.0,1.0,0.0,0.0,14,129,1,3,
From occupational to existential class: How to analyze class structure in hybrid societies (The case of Serbia),"['Predrag Cveticanin', 'Inga Tomić-Koludrović', 'Mirko Petric[...]', 'Adrián Leguina']",propose model analyze class structure hybrid postsocialist society southeast europe see using case serbia argue hybrid society inequality generated several mechanism similar strength exploitative market mechanism based economic capital different type closure mechanism based political capital influence intertwined analytically isolated reduced common foundation therefore occupational class analysis society limited explanatory power attempt overcome challenge forced modify instrument several established approach class analysis modification included reconceptualization bourdieusian notion political cultural capital different operationalization space identification specific mechanism generating inequality paying attention practical discursive classification lifestyle establishment symbolic boundary relying differential association analysis identifying class boundary analysis final result model enables studying general inequality generalized advantage disadvantage see postsocialist society,Article,2021.0,55,Aug 3,0,0,0,3.0,73,en,"[0.         0.12024879 0.00399499 0.         0.01305937 0.
 0.0113944  0.         0.         0.03508644 0.         0.        ]",politics,0.0,0.12024879472124181,0.003994991180811975,0.0,0.01305936733775677,0.0,0.011394402751705326,0.0,0.0,0.03508643845346664,0.0,0.0,"{'neg': 0.104, 'neu': 0.841, 'pos': 0.055, 'compound': -0.7096}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.104,0.841,0.055,-0.7096,0.0,1.0,0.0,0.0,20,108,1,4,
Does a Crisis Change News Habits? A Comparative Study of the Effects of COVID-19 on News Media Use in 17 European Countries,"['Peter Van Aelst', 'Fanni Toth', 'Václav Štětka[...]', 'Yannis Theocharis']",exogenous shock like covid pandemic unleashes multiple fundamental question society beyond public health based classical concept need orientation role medium time crisis investigate extent covid pandemic affected news consumption comparative perspective based two wave panel mostly european country study target role legacy news brand tv radio newspaper called contemporary news medium internet based medium global health crisis result show overall rise news across country type news medium find increase tv news consumption higher reliance medium internet news information indicates time crisis unusually strong need orientation people mainly turn news source easily available offer immediate coverage furthermore find rise news mainly present among already higher level trust legacy medium among people concerned impact pandemic,Article,2021.0,100,Aug 1,0,0,3,6.0,180,en,"[0.00970041 0.         0.01056403 0.         0.         0.
 0.00888056 0.         0.         0.         0.26626195 0.00276211]",covid,0.009700414771828068,0.0,0.010564032901418084,0.0,0.0,0.0,0.008880555444104285,0.0,0.0,0.0,0.2662619455466354,0.0027621062270621623,"{'neg': 0.124, 'neu': 0.771, 'pos': 0.105, 'compound': -0.5279}","{'neg': 0.177, 'neu': 0.823, 'pos': 0.0, 'compound': -0.6249}",0.124,0.771,0.105,-0.5279,0.177,0.823,0.0,-0.6249,23,113,1,4,
"Getting things done: Inequalities, Internet use and everyday life","['Adrián Leguina', 'John Downey']",study mundane everyday us internet remains emerging field inquiry analysing large seven country internet adapting concept method developed bourdieu show distinct cluster user internet diverse way solve everyday problem buying mobile phone diagnosing illness everyday problem solving dependent upon degree economic digital cultural capital varies across country comparative methodological strategy combined multiple correspondence analysis mca hierarchical cluster analysis hca first time field multiple factor analysis contingency table mfacts extending work bourdieu sociology class generally argue digital capital function bridging capital aiding convertibility form capital benefit already advantaged group,Article,2021.0,276,Jul 29,1,1,2,2.0,24,en,"[0.00514012 0.06177081 0.00764085 0.01061523 0.02544549 0.00470612
 0.00730109 0.03125025 0.0139894  0.01507214 0.01636129 0.        ]",politics,0.00514012449129582,0.06177081313937186,0.007640849614572404,0.01061523040291567,0.02544548682602621,0.004706121208083267,0.0073010923073266835,0.03125024862037688,0.013989397740626129,0.01507214312342225,0.016361289048013095,0.0,"{'neg': 0.105, 'neu': 0.799, 'pos': 0.096, 'compound': -0.2263}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.105,0.799,0.096,-0.2263,0.0,1.0,0.0,0.0,11,88,1,2,150.0
Rethinking social capital in the desistance process: The ‘Artful Dodger’ complex,['Christopher Kay'],capital become core component understanding desistance recent year work however seems present capital inherently positive suggesting increasing stock capital fundamental desistance process knowledge surrounding exactly capital utilized within desistance process exception acquiring capital good remains underexplored analysis desistance narrative young adult men serving community order supervision probation service england wale argues instead considered inherently good capital perhaps better thought value neutral consisting positive negative aspect occur simultaneously desistance simply obtaining capital many people conviction posse stock capital supported offending rather reorienting type capital available given time relationship imbue anti capital imbue pro capital distinction significant theoretical policy intervention arguing pro capital make reference term supporting desistance effort concludes offering tentative suggestion future along way distinction support operationalize desistance within criminal justice policy practice,Article,2020.0,122,Jul 21,0,1,2,1.0,8,en,"[0.02607244 0.06100576 0.02970737 0.01071431 0.         0.00541631
 0.01008492 0.00063771 0.         0.         0.         0.        ]",politics,0.026072435794221274,0.06100575536809729,0.029707365719864872,0.010714307217374104,0.0,0.00541630584884706,0.010084923973795571,0.0006377147607452639,0.0,0.0,0.0,0.0,"{'neg': 0.118, 'neu': 0.681, 'pos': 0.202, 'compound': 0.9022}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.118,0.681,0.202,0.9022,0.0,1.0,0.0,0.0,14,123,1,1,158.0
The impact of policy change on prisoner resettlement and community integration: A case of disproportionate response,['Christopher Kay'],involvement prisoner license recent london bridge streatham london attack triggered series policy aiming restrict community release aim address point prisoner england wale released also level engagement prisoner community release introduced little consultation available evidence seemingly little consideration directly impacted result implementation commentary considers announced change policy relating release temporary licence rotl prisoner represent response disproportionate scale problem may also negatively impact upon prisoner rehabilitation draw upon evidence surrounding impact early release evidence surrounding practice work promote desistance crime highlight flaw new policy also importance maintaining community engagement rehabilitation people conviction,Article,2020.0,85,,0,1,0,0.0,3,en,"[0.04487604 0.02936728 0.02451061 0.01167923 0.         0.02016847
 0.         0.00300953 0.00406203 0.         0.01318545 0.01360309]",social_work,0.044876040048422765,0.029367278724715284,0.024510605101954592,0.01167923105346317,0.0,0.020168470878172216,0.0,0.003009534103400288,0.0040620345385801206,0.0,0.013185450237673127,0.013603088944856892,"{'neg': 0.247, 'neu': 0.639, 'pos': 0.114, 'compound': -0.9509}","{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.5423}",0.247,0.639,0.114,-0.9509,0.2,0.8,0.0,-0.5423,17,90,1,1,
Rethinking recovery and desistance processes: developing a social identity model of transition,"['Christopher Kay', 'Mark Monaghan']",background recent year role identity identity developed involvement group others received increasing attention relation recovery substance abuse disorder however also widely noted transformation one identitie vital cessation non addictive behaviour offending interestingly discussion role identity tansformation relation desistance recovery simultaneously seldom undertaken method drawing primary consisting double narrative interview young adult offender intensive community order build upon two prominent identity model surrounding addictive behaviour identity model recovery identity model cessation maintenance order develop identity model aid understanding desistance recovery process result present identity model transition simot allowing synergy desistance recovery process transition come light conclusion simot allows understanding role identity transformation transient nature desistance recovery process model allows examination impact macro micro contextual factor desistance recovery process way seldom possible currently available model,Article,2018.0,6,,0,0,4,3.0,93,en,"[0.00158702 0.09581018 0.         0.         0.         0.01809262
 0.00211844 0.00912665 0.         0.04197731 0.         0.00682327]",politics,0.0015870161493696513,0.09581017949576841,0.0,0.0,0.0,0.01809261936631086,0.0021184367610033,0.009126645425571346,0.0,0.041977308432239145,0.0,0.006823269042980844,"{'neg': 0.093, 'neu': 0.854, 'pos': 0.053, 'compound': -0.7579}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.093,0.854,0.053,-0.7579,0.0,1.0,0.0,0.0,13,123,1,2,
Online Social Endorsement and Covid-19 Vaccine Hesitancy in the United Kingdom,"['Andrew Chadwick', 'Johannes Kaiser', 'Cristian Vaccari[...]', 'Li-Yuang Yu']",explore implication online endorsement covid vaccination program united kingdom vaccine hesitancy long standing problem assumed great urgency due pandemic early united kingdom world highest covid mortality per million population nationally representative sample uk adult n measured socio demographic political attitude medium diet getting news covid intention medium personal messaging apps encourage discourage vaccination covid cluster analysis identified six distinct medium diet group news avoiders mainstream official news sampler super seeker omnivore medium dependent tv dependent assessed whether medium diet together key attitude including covid vaccine hesitancy conspiracy mentality news find attitude meaning giving le priority active monitoring news relying one online network friend information predict intention encourage discourage vaccination overall super seeker omnivorous medium diet likely medium diet associated online encouragement vaccination combination news avoidance high level news find attitude b medium dependence high level conspiracy mentality likely associated online discouragement vaccination direct statistical model tv dependent medium diet likely associated online discouragement vaccination moderation model show tv dependent diet strongly attenuates relationship vaccine hesitancy discouraging vaccination finding support public health communication based four main method first direct contact post workplace community structure phone counseling via local health service could reach news avoiders second tv public information advertisement point authoritative information source national health service nh public health website feature clear simple way people share material among online network third informative medium campaign provide super seeker good resource share also encouraging medium dependent browse away medium platform visit reliable authoritative online source fourth medium company expand intensify removal vaccine disinformation anti vax account effort monitored well resourced independent organization,Article,2021.0,339,Jul 15,1,1,13,9.0,107,en,"[0.01559515 0.         0.01455953 0.         0.00828361 0.
 0.         0.         0.         0.         0.25812291 0.        ]",covid,0.015595147255032667,0.0,0.014559530211020645,0.0,0.008283614592289986,0.0,0.0,0.0,0.0,0.0,0.2581229139518573,0.0,"{'neg': 0.121, 'neu': 0.669, 'pos': 0.209, 'compound': 0.9812}","{'neg': 0.127, 'neu': 0.533, 'pos': 0.34, 'compound': 0.4939}",0.121,0.669,0.209,0.9812,0.127,0.533,0.34,0.4939,11,259,1,4,164.0
